Streaming from http://sc.local/log (Ctrl-C to stop)

Time  State  Bat(V)  Drive(A)  Jack(A)  Aux(A)  Counter  Stable  Raw  DrHeat  JkHeat  AxHeat
2026-02-17 16:11:50.675  IDLE  13.349  -0.57  0.14  -0.04  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.695  IDLE  13.357  0.72  0.09  -0.22  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.714  IDLE  13.372  0.19  -0.23  -0.08  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.734  IDLE  13.376  -0.04  -0.16  -0.13  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.754  IDLE  13.378  -0.34  -0.02  0.08  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.774  IDLE  13.371  0.11  -0.06  0.08  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.794  IDLE  13.360  0.19  -0.13  -0.10  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.815  IDLE  13.378  -0.19  0.10  0.08  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.834  IDLE  13.382  0.34  -0.09  -0.15  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.856  IDLE  13.389  0.34  0.03  0.08  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.876  IDLE  13.377  0.79  0.05  -0.19  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.895  IDLE  13.367  0.56  0.14  0.06  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.915  IDLE  13.365  -0.95  0.28  0.21  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.935  IDLE  13.369  -0.04  0.16  -0.01  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.954  IDLE  13.355  0.11  -0.02  -0.13  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
2026-02-17 16:11:50.974  IDLE  13.356  0.41  -0.13  -0.13  0  SAFETY+DRIVE+AUX2  SAFETY+DRIVE+AUX2  0.0  0.0  0.0
